original/150mm_Brushed.af,75,80,,,4,2,2.5,
original/DevEBox.af,230,1200,,,4,100,10.0,
original/Ecks_220mm.af,110,910,,,4,100,11.0,
original/Ken_s_450_1165.af,225,1200,,,4,180,10.0,
original/Ken_s_Alpha_Test.af,181,1000,,,4,120,8.0,
original/Ken_s_LadyBug.af,40,30,,,4,1,1.5,
original/Phoenix_FW.af,,1000,50.0,250,,200,10.0,1800
original/Rok_s_Quad.af,181,1000,,,4,120,8.0,
original/S500_1137.af,260,1000,,,4,180,10.0,
original/Sky_Surfer_Test.af,,1000,50.0,250,,200,10.0,1800
original/Spoileron.af,,1200,50.0,280,,200,10.0,1800
original/Wing_900mm.af,,500,50.0,180,,100,7.0,900
generic/Delta.af,,1000,11.1,250,,200,10.0,1800
generic/Hex.af,225,1200,22.2,,4,180,10.0,
generic/Oct.af,225,1200,22.2,,4,180,10.0,
generic/Quad.af,220,800,14.8,,4,100,11.0,
generic/Quad_Medium.af,220,800,22.2,,4,100,11.0,
generic/Quad_Racer.af,220,800,14.8,,4,100,11.0,
generic/Rudder_Elevator.af,,500,11.1,180,,100,7.0,900
generic/Spoileron.af,,1200,14.8,280,,200,10.0,1800
